size,age,rooms,distance,price
1260,47,4,0.51,301696
4172,18,6,7.18,809963
3492,35,2,15.9,464301
866,28,2,15.49,161676
4826,17,1,9.46,624457
3844,1,5,15.57,690893
3571,0,4,5.59,652114
3319,46,2,16.8,379767
530,4,1,32.19,26036
2085,19,6,19.42,465768
1169,10,3,1.21,227996
2791,41,4,17.15,427033
2833,1,2,1.57,445320
1584,2,5,38.67,395254
4955,22,1,5.53,617898
3785,11,2,28.45,502497
4517,19,5,38.92,737989
3304,4,2,33.13,468640
874,36,4,28.12,195494
1482,37,4,33.66,299760
2958,29,4,39.28,487463
2447,8,6,25.04,501882
3147,33,6,22.59,556428
1375,43,1,25.32,98878
2206,34,4,21.54,389565
589,21,5,25.59,258348
3134,43,2,18.27,439962
3405,23,3,9.13,469040
2299,16,5,5.25,543162
1667,9,6,3.2,457839
1928,29,6,10.9,475149
3602,45,5,2.32,614715
3956,22,6,22.9,718854
4290,31,4,11.71,664696
1046,16,1,33.07,48900
3288,49,2,3.43,425155
2835,16,1,9.44,391785
1000,13,2,29.34,139925
2763,8,2,24.15,340215
2461,39,1,3.05,294269
641,1,5,35.15,219537
2441,44,2,35.15,298913
3224,24,1,13.55,414361
3012,38,2,13.95,410465
1763,8,3,39.57,294689
1878,21,5,25.23,384854
2956,42,4,21.49,516411
1175,45,2,33.61,151397
4414,3,3,11.77,644598
434,25,4,17.45,231217
3552,28,4,11.08,547193
2355,44,2,31.67,325237
1985,33,1,23.15,249126
4343,22,2,26.52,540059
3473,36,3,10.47,489165
1421,10,4,9.2,338433
3861,5,2,19.79,561105
3013,17,1,29.63,354466
4243,20,2,21.25,544521
1900,41,5,1.79,480826
561,35,1,34.81,11998
4697,40,3,3.06,664741
2381,37,4,38.26,367142
1395,33,2,1.49,184873
3742,16,1,27.93,432115
4951,36,5,3.75,793990
4198,24,1,36.47,415148
1675,37,6,18.85,391834
1416,11,5,5.93,432340
737,22,3,13.96,223445
1278,41,4,7.01,284660
1476,21,3,7.24,290810
4393,20,2,37.95,561461
